1663201872.472234 Connecting to host 192.168.3.1, port 5102
1663201872.472410 [  4] local 192.168.10.2 port 43928 connected to 192.168.3.1 port 5102
1663201872.472464 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201872.472510 [  4]   0.00-0.10   sec   934 KBytes  76.3 Mbits/sec    0   14.1 KBytes       
1663201872.472557 [  4]   0.10-0.20   sec  1.83 MBytes   154 Mbits/sec    0   14.1 KBytes       
1663201872.472609 [  4]   0.20-0.30   sec  2.14 MBytes   179 Mbits/sec    0   14.1 KBytes       
1663201872.472656 [  4]   0.30-0.40   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201872.472706 [  4]   0.40-0.50   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201872.472756 [  4]   0.50-0.60   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201872.472826 [  4]   0.60-0.70   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201872.472876 [  4]   0.70-0.80   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201872.472924 [  4]   0.80-0.90   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201872.472970 [  4]   0.90-1.00   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201872.473017 [  4]   1.00-1.10   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201872.473074 [  4]   1.10-1.20   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201872.473122 [  4]   1.20-1.30   sec  1.04 MBytes  87.3 Mbits/sec    0   14.1 KBytes       
1663201872.473168 [  4]   1.30-1.40   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201872.473271 [  4]   1.40-1.50   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201872.473325 [  4]   1.50-1.60   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201872.473375 [  4]   1.60-1.70   sec  1.04 MBytes  87.2 Mbits/sec    0   14.1 KBytes       
1663201872.473436 [  4]   1.70-1.80   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201872.473485 [  4]   1.80-1.90   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201872.473531 [  4]   1.90-2.00   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201872.473577 [  4]   2.00-2.10   sec   941 KBytes  77.2 Mbits/sec    0   14.1 KBytes       
1663201872.473623 [  4]   2.10-2.20   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.473676 [  4]   2.20-2.30   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201872.473720 [  4]   2.30-2.40   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.473766 [  4]   2.40-2.50   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.473812 [  4]   2.50-2.60   sec  1004 KBytes  82.4 Mbits/sec    0   14.1 KBytes       
1663201872.473857 [  4]   2.60-2.70   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.473910 [  4]   2.70-2.80   sec  1.04 MBytes  87.3 Mbits/sec    0   14.1 KBytes       
1663201872.473953 [  4]   2.80-2.90   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.473998 [  4]   2.90-3.00   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201872.474045 [  4]   3.00-3.10   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201872.474091 [  4]   3.10-3.20   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201872.474136 [  4]   3.20-3.30   sec  1004 KBytes  82.4 Mbits/sec    0   14.1 KBytes       
1663201872.474182 [  4]   3.30-3.40   sec  1.16 MBytes  97.5 Mbits/sec    0   14.1 KBytes       
1663201872.474227 [  4]   3.40-3.50   sec  1.04 MBytes  87.6 Mbits/sec    0   14.1 KBytes       
1663201872.474279 [  4]   3.50-3.60   sec  1.10 MBytes  92.4 Mbits/sec    0   14.1 KBytes       
1663201872.474321 [  4]   3.60-3.70   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201872.474367 [  4]   3.70-3.80   sec  1.04 MBytes  87.3 Mbits/sec    0   14.1 KBytes       
1663201872.474413 [  4]   3.80-3.90   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201872.474459 [  4]   3.90-4.00   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.474505 [  4]   4.00-4.10   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201872.474549 [  4]   4.10-4.20   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.474595 [  4]   4.20-4.30   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201872.474646 [  4]   4.30-4.40   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201872.474689 [  4]   4.40-4.50   sec  1.16 MBytes  97.5 Mbits/sec    0   14.1 KBytes       
1663201872.474735 [  4]   4.50-4.60   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201872.474781 [  4]   4.60-4.70   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201872.474827 [  4]   4.70-4.80   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201872.474872 [  4]   4.80-4.90   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201877.675837 [  4]   4.90-5.00   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201877.675978 [  4]   5.00-5.10   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201877.676029 [  4]   5.10-5.20   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676079 [  4]   5.20-5.30   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201877.676128 [  4]   5.30-5.40   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201877.676175 [  4]   5.40-5.50   sec  1.10 MBytes  92.4 Mbits/sec    0   14.1 KBytes       
1663201877.676222 [  4]   5.50-5.60   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201877.676269 [  4]   5.60-5.70   sec  1.16 MBytes  97.8 Mbits/sec    0   14.1 KBytes       
1663201877.676316 [  4]   5.70-5.80   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201877.676363 [  4]   5.80-5.90   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201877.676410 [  4]   5.90-6.00   sec  1.16 MBytes  97.5 Mbits/sec    0   14.1 KBytes       
1663201877.676457 [  4]   6.00-6.10   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676504 [  4]   6.10-6.20   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676551 [  4]   6.20-6.30   sec  1.16 MBytes  97.8 Mbits/sec    0   14.1 KBytes       
1663201877.676597 [  4]   6.30-6.40   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201877.676644 [  4]   6.40-6.50   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201877.676690 [  4]   6.50-6.60   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201877.676737 [  4]   6.60-6.70   sec  1.16 MBytes  97.5 Mbits/sec    0   14.1 KBytes       
1663201877.676783 [  4]   6.70-6.80   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676830 [  4]   6.80-6.90   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676877 [  4]   6.90-7.00   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.676924 [  4]   7.00-7.10   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.676970 [  4]   7.10-7.20   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201877.677017 [  4]   7.20-7.30   sec  1.16 MBytes  97.8 Mbits/sec    0   14.1 KBytes       
1663201877.677064 [  4]   7.30-7.40   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201877.677110 [  4]   7.40-7.50   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201877.677157 [  4]   7.50-7.60   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201877.677261 [  4]   7.60-7.70   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677308 [  4]   7.70-7.80   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677357 [  4]   7.80-7.90   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201877.677403 [  4]   7.90-8.00   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201877.677448 [  4]   8.00-8.10   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677493 [  4]   8.10-8.20   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201877.677537 [  4]   8.20-8.30   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677581 [  4]   8.30-8.40   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201877.677621 [  4]   8.40-8.50   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201877.677664 [  4]   8.50-8.60   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677708 [  4]   8.60-8.70   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677750 [  4]   8.70-8.80   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677792 [  4]   8.80-8.90   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.677834 [  4]   8.90-9.00   sec  1.35 MBytes   114 Mbits/sec    0   14.1 KBytes       
1663201877.677879 [  4]   9.00-9.10   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201877.677925 [  4]   9.10-9.20   sec  1.20 MBytes   101 Mbits/sec    0   14.1 KBytes       
1663201877.677971 [  4]   9.20-9.30   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.678016 [  4]   9.30-9.40   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.678062 [  4]   9.40-9.50   sec  1.41 MBytes   119 Mbits/sec    0   14.1 KBytes       
1663201877.678107 [  4]   9.50-9.60   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201877.678152 [  4]   9.60-9.70   sec  1.35 MBytes   114 Mbits/sec    0   14.1 KBytes       
1663201877.678198 [  4]   9.70-9.80   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201877.678243 [  4]   9.80-9.90   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201877.678288 [  4]   9.90-10.00  sec  1.35 MBytes   114 Mbits/sec    0   14.1 KBytes       
1663201877.678333 - - - - - - - - - - - - - - - - - - - - - - - - -
1663201877.678379 [ ID] Interval           Transfer     Bandwidth       Retr
1663201877.678432 [  4]   0.00-10.00  sec   113 MBytes  94.8 Mbits/sec    0             sender
1663201877.678479 [  4]   0.00-10.00  sec   110 MBytes  92.2 Mbits/sec                  receiver
1663201877.678524 
1663201877.678570 iperf Done.
