1663209036.165873 tcp   SYN-SENT 0      1               192.168.10.2:33952 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,984ms,0) uid:20001 ino:920110 sk:1df0 1663209036.165883 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628176 lastrcv:13628176 lastack:13628176 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663209036.165985 mptcp SYN-SENT 0      1               192.168.10.2:33952 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,976ms,0) uid:20001 ino:920110 sk:1df0 1663209036.165995 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
1663209036.313406 tcp   ESTAB    0      28560           192.168.10.2:33954 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,068ms,0) uid:20001 ino:920111 sk:1df3 1663209036.313484 	 ts sack lia wscale:7,7 rto:232 rtt:30.764/4.29 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7426863bps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 14853480bps delivery_rate 3550024bps delivered:12 busy:68ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.339     
1663209036.313503 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:57917 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,900ms,0) uid:20001 ino:920110 sk:1df4 1663209036.313514 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628324 lastrcv:13628324 lastack:13628324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209036.313525 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:36581 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,068ms,0) uid:20001 ino:920110 sk:1df5 1663209036.313534 	 ts sack lia wscale:7,7 rto:232 rtt:30.564/3.904 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7475461bps lastsnd:4 lastrcv:72 lastack:4 pacing_rate 14950672bps delivery_rate 3657432bps delivered:11 busy:36ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.288     
1663209036.313571 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46357 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,900ms,0) uid:20001 ino:920110 sk:1df6 1663209036.313582 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628324 lastrcv:13628324 lastack:13628324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209036.313616 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:42819 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,932ms,0) uid:20001 ino:920111 sk:1df7 1663209036.313626 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628324 lastrcv:13628324 lastack:13628324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209036.313637 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50673 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,932ms,0) uid:20001 ino:920111 sk:1df8 1663209036.313647 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628324 lastrcv:13628324 lastack:13628324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209036.313657 tcp   ESTAB    0      28560           192.168.10.2:33952 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,068ms,0) uid:20001 ino:920110 sk:1df9 1663209036.313667 	 ts sack lia wscale:7,7 rto:232 rtt:30.669/4.162 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7449868bps lastsnd:4 lastrcv:132 lastack:4 pacing_rate 14899608bps delivery_rate 3583880bps delivered:12 busy:68ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.317    
1663209036.313677 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:44985 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,064ms,0) uid:20001 ino:920111 sk:1dfa 1663209036.313688 	 ts sack lia wscale:7,7 rto:240 rtt:30.395/15.197 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3758513bps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 7517024bps delivered:1 busy:8ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.395                                    
1663209036.313747 mptcp ESTAB    0      28560           192.168.10.2:33954 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,064ms,0) uid:20001 ino:920111 sk:1df3 1663209036.313756 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663209036.313767 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:57917 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,896ms,0) uid:20001 ino:920110 sk:1df4 1663209036.313777 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663209036.313791 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:36581 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,064ms,0) uid:20001 ino:920110 sk:1df5 1663209036.313801 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663209036.313838 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:46357 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,896ms,0) uid:20001 ino:920110 sk:1df6 1663209036.313849 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663209036.313879 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:42819 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,924ms,0) uid:20001 ino:920111 sk:1df7 1663209036.313889 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663209036.313899 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:50673 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,924ms,0) uid:20001 ino:920111 sk:1df8 1663209036.313909 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663209036.313919 mptcp ESTAB    0      28560           192.168.10.2:33952 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,060ms,0) uid:20001 ino:920110 sk:1df9 1663209036.313930 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663209036.313940 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:44985 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,056ms,0) uid:20001 ino:920111 sk:1dfa 1663209036.313950 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                 
1663209036.462139 tcp   ESTAB    0      215628          192.168.10.2:33954 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,072ms,0) uid:20001 ino:920111 sk:1df3 1663209036.462205 	 ts sack lia wscale:7,7 rto:232 rtt:31.314/1.102 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:151 bytes_sent:466977 bytes_acked:259918 segs_out:333 segs_in:76 data_segs_out:330 send 55087948bps lastrcv:248 pacing_rate 110175888bps delivery_rate 14273864bps delivered:186 busy:216ms sndbuf_limited:36ms(16.7%) unacked:145 rcv_space:14280 rcv_ssthresh:64108 notsent:8568 minrtt:30.137
1663209036.462223 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:57917 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,752ms,0) uid:20001 ino:920110 sk:1df4 1663209036.462240 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628472 lastrcv:13628472 lastack:13628472 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209036.462251 tcp   ESTAB    0      271320 192.168.20.2%enp6s0f1:36581 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,068ms,0) uid:20001 ino:920110 sk:1df5 1663209036.462261 	 ts sack lia wscale:7,7 rto:240 rtt:36.121/1.224 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:190 bytes_sent:570936 bytes_acked:299617 segs_out:406 segs_in:94 data_segs_out:404 send 60091360bps lastsnd:16 lastrcv:220 lastack:16 pacing_rate 120182712bps delivery_rate 29098312bps delivered:215 busy:184ms unacked:190 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.206                  
1663209036.462292 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46357 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,748ms,0) uid:20001 ino:920110 sk:1df6 1663209036.462302 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628476 lastrcv:13628476 lastack:13628476 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209036.462340 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:42819 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,780ms,0) uid:20001 ino:920111 sk:1df7 1663209036.462351 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628476 lastrcv:13628476 lastack:13628476 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209036.462362 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50673 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,780ms,0) uid:20001 ino:920111 sk:1df8 1663209036.462375 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13628476 lastrcv:13628476 lastack:13628476 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209036.462386 tcp   ESTAB    0      362712          192.168.10.2:33952 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,076ms,0) uid:20001 ino:920110 sk:1df9 1663209036.462396 	 ts sack lia wscale:7,7 rto:236 rtt:33.324/0.806 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:254 bytes_sent:721441 bytes_acked:375866 segs_out:512 segs_in:106 data_segs_out:509 send 87075261bps lastrcv:284 pacing_rate 174150520bps delivery_rate 42976856bps delivered:268 busy:220ms unacked:242 rcv_space:14280 rcv_ssthresh:64108 notsent:17136 minrtt:30.165                         
1663209036.462412 tcp   ESTAB    0      341292 192.168.20.2%enp6s0f1:44985 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,076ms,0) uid:20001 ino:920111 sk:1dfa 1663209036.462422 	 ts sack lia wscale:7,7 rto:236 rtt:33.147/0.963 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:239 bytes_sent:646900 bytes_acked:322745 segs_out:458 segs_in:93 data_segs_out:456 send 82370531bps lastrcv:188 pacing_rate 164739816bps delivery_rate 39755984bps delivered:230 busy:160ms unacked:227 rcv_space:14280 rcv_ssthresh:64108 notsent:17136 minrtt:30.167                          
1663209036.462479 mptcp ESTAB    0      255612          192.168.10.2:33954 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=6)) timer:(on,076ms,0) uid:20001 ino:920111 sk:1df3 1663209036.462493 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:b1                                                                                                                                                                                                                                                                                                                            
1663209036.462506 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:57917 192.168.3.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,744ms,0) uid:20001 ino:920110 sk:1df4 1663209036.462520 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                      
1663209036.462534 mptcp ESTAB    0      285600 192.168.20.2%enp6s0f1:36581 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,080ms,0) uid:20001 ino:920110 sk:1df5 1663209036.462549 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:c6                                                                                                                                                                                                                                                                                                                            
1663209036.462592 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:46357 192.168.4.1:5101 users:(("iperf3",pid=40870,fd=4)) timer:(on,744ms,0) uid:20001 ino:920110 sk:1df6 1663209036.462603 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                      
