1663209708.122248 tcp   SYN-SENT 0      1               192.168.10.2:34276 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,984ms,0) uid:20001 ino:1031676 sk:1fb3 1663209708.122266 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14300132 lastrcv:14300132 lastack:14300132 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663209708.122370 mptcp SYN-SENT 0      1               192.168.10.2:34276 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,976ms,0) uid:20001 ino:1031676 sk:1fb3 1663209708.122380 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                         
1663209708.269445 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:56015 192.168.4.1:5101 users:(("iperf3",pid=14652,fd=6)) timer:(on,928ms,0) uid:20001 ino:1031677 sk:1fb7 1663209708.269523 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14300280 lastrcv:14300280 lastack:14300280 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209708.269568 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:60309 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,896ms,0) uid:20001 ino:1031676 sk:1fb8 1663209708.269581 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14300280 lastrcv:14300280 lastack:14300280 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209708.269614 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:59691 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=6)) timer:(on,928ms,0) uid:20001 ino:1031677 sk:1fb9 1663209708.269625 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14300280 lastrcv:14300280 lastack:14300280 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209708.269643 tcp   ESTAB    0      28560           192.168.10.2:34276 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,064ms,0) uid:20001 ino:1031676 sk:1fba 1663209708.269654 	 ts sack lia wscale:7,7 rto:232 rtt:30.685/4.133 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7445983bps lastsnd:8 lastrcv:136 lastack:8 pacing_rate 14891656bps delivery_rate 3586696bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.338      
1663209708.269685 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:60625 192.168.4.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,896ms,0) uid:20001 ino:1031676 sk:1fbb 1663209708.269696 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14300280 lastrcv:14300280 lastack:14300280 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209708.269708 tcp   ESTAB    0      28560           192.168.10.2:34278 192.168.3.1:5101 users:(("iperf3",pid=14652,fd=6)) timer:(on,068ms,0) uid:20001 ino:1031677 sk:1fbc 1663209708.269719 	 ts sack lia wscale:7,7 rto:232 rtt:30.734/4.312 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7434112bps lastsnd:4 lastrcv:104 lastack:8 pacing_rate 14868096bps delivery_rate 3552128bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.255      
1663209708.269730 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:46005 192.168.4.1:5101 users:(("iperf3",pid=14652,fd=6)) timer:(on,060ms,0) uid:20001 ino:1031677 sk:1fbd 1663209708.269743 	 ts sack lia wscale:7,7 rto:236 rtt:30.403/15.201 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3757524bps lastsnd:12 lastrcv:40 lastack:12 pacing_rate 7515040bps delivered:1 busy:12ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.403                                   
1663209708.269785 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:39699 192.168.4.1:5101 users:(("iperf3",pid=14652,fd=4)) timer:(on,060ms,0) uid:20001 ino:1031676 sk:1fbe 1663209708.269799 	 ts sack lia wscale:7,7 rto:232 rtt:30.552/3.892 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7478397bps lastsnd:12 lastrcv:76 lastack:12 pacing_rate 14956544bps delivery_rate 3660944bps delivered:11 busy:44ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.252     
1663209708.269834 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:56015 192.168.4.1:5101 users:(("iperf3",pid=14652,fd=6)) timer:(on,920ms,0) uid:20001 ino:1031677 sk:1fb7 1663209708.269845 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
