1663210044.214411 tcp   SYN-SENT 0      1               192.168.10.2:34436 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,988ms,0) uid:20001 ino:1035802 sk:2094 1663210044.214422 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636224 lastrcv:14636224 lastack:14636224 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210044.214541 mptcp SYN-SENT 0      1               192.168.10.2:34436 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,980ms,0) uid:20001 ino:1035802 sk:2094 1663210044.214552 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
1663210044.361452 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:58015 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,932ms,0) uid:20001 ino:1035803 sk:2097 1663210044.361463 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636372 lastrcv:14636372 lastack:14636372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210044.361473 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:57247 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,900ms,0) uid:20001 ino:1035802 sk:2098 1663210044.361483 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636372 lastrcv:14636372 lastack:14636372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210044.361493 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:51143 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,900ms,0) uid:20001 ino:1035802 sk:2099 1663210044.361503 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636372 lastrcv:14636372 lastack:14636372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210044.361512 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:60067 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,068ms,0) uid:20001 ino:1035802 sk:209a 1663210044.361522 	 ts sack lia wscale:7,7 rto:232 rtt:30.598/3.901 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7467155bps lastsnd:4 lastrcv:68 lastack:4 pacing_rate 14933880bps delivery_rate 3655912bps delivered:11 busy:32ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.264     
1663210044.361552 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:36947 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,932ms,0) uid:20001 ino:1035803 sk:209b 1663210044.361562 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636372 lastrcv:14636372 lastack:14636372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210044.361572 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:37825 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,064ms,0) uid:20001 ino:1035803 sk:209c 1663210044.361588 	 ts sack lia wscale:7,7 rto:240 rtt:30.452/15.226 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3751478bps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 7502952bps delivered:1 busy:8ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.452                                    
1663210044.361599 tcp   ESTAB    0      28560           192.168.10.2:34436 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,072ms,0) uid:20001 ino:1035802 sk:209d 1663210044.361609 	 ts sack lia wscale:7,7 rto:232 rtt:30.589/4.005 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7469352bps lastrcv:132 pacing_rate 14938336bps delivery_rate 3612672bps delivered:12 busy:64ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.35                         
1663210044.361668 tcp   ESTAB    0      28560           192.168.10.2:34438 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,068ms,0) uid:20001 ino:1035803 sk:209e 1663210044.361678 	 ts sack lia wscale:7,7 rto:232 rtt:30.88/4.378 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7398964bps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 14797744bps delivery_rate 3556880bps delivered:12 busy:64ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.363     
1663210044.361710 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:58015 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,924ms,0) uid:20001 ino:1035803 sk:2097 1663210044.361720 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
