1663210380.106731 tcp   SYN-SENT 0      1               192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,984ms,0) uid:20001 ino:1113443 sk:2175 1663210380.106743 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972120 lastrcv:14972120 lastack:14972120 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663210380.106844 mptcp SYN-SENT 0      1               192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,980ms,0) uid:20001 ino:1113443 sk:2175 1663210380.106855 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                       
1663210380.254290 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:54183 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,900ms,0) uid:20001 ino:1113443 sk:2179 1663210380.254362 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972264 lastrcv:14972264 lastack:14972264 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210380.254382 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:53465 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,900ms,0) uid:20001 ino:1113443 sk:217a 1663210380.254393 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972264 lastrcv:14972264 lastack:14972264 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210380.254425 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:42681 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,928ms,0) uid:20001 ino:1113444 sk:217b 1663210380.254435 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972268 lastrcv:14972268 lastack:14972268 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210380.254446 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:48439 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,064ms,0) uid:20001 ino:1113443 sk:217c 1663210380.254456 	 ts sack lia wscale:7,7 rto:232 rtt:30.548/3.898 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7479377bps lastsnd:8 lastrcv:72 lastack:8 pacing_rate 14958688bps delivery_rate 3662240bps delivered:11 busy:40ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.285   
1663210380.254466 tcp   ESTAB    0      28560           192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,064ms,0) uid:20001 ino:1113443 sk:217d 1663210380.254476 	 ts sack lia wscale:7,7 rto:232 rtt:30.606/3.15 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7465203bps lastsnd:8 lastrcv:136 lastack:8 pacing_rate 14930032bps delivery_rate 3598672bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.234   
1663210380.254486 tcp   ESTAB    0      28560           192.168.10.2:34598 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,064ms,0) uid:20001 ino:1113444 sk:217e 1663210380.254496 	 ts sack lia wscale:7,7 rto:232 rtt:31.104/2.982 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:9 data_segs_out:31 send 7345679bps lastsnd:8 lastrcv:104 lastack:8 pacing_rate 14691000bps delivery_rate 3534432bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.251  
1663210380.254558 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35467 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,928ms,0) uid:20001 ino:1113444 sk:217f 1663210380.254571 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972268 lastrcv:14972268 lastack:14972268 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210380.254582 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:59089 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,060ms,0) uid:20001 ino:1113444 sk:2180 1663210380.254592 	 ts sack lia wscale:7,7 rto:236 rtt:30.415/15.207 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3756041bps lastsnd:12 lastrcv:40 lastack:12 pacing_rate 7512080bps delivered:1 busy:12ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.415                               
1663210380.254623 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:54183 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,892ms,0) uid:20001 ino:1113443 sk:2179 1663210380.254633 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
