1663210548.195127 tcp   SYN-SENT 0      1               192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,984ms,0) uid:20001 ino:1131942 sk:21e5 1663210548.195139 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140208 lastrcv:15140208 lastack:15140208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210548.195241 mptcp SYN-SENT 0      1               192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,980ms,0) uid:20001 ino:1131942 sk:21e5 1663210548.195256 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663210548.342525 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:58617 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,900ms,0) uid:20001 ino:1131942 sk:21e9 1663210548.342538 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140352 lastrcv:15140352 lastack:15140352 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663210548.342549 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:44025 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,932ms,0) uid:20001 ino:1131943 sk:21ea 1663210548.342561 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140352 lastrcv:15140352 lastack:15140352 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663210548.342572 tcp   ESTAB    0      28560           192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,068ms,0) uid:20001 ino:1131942 sk:21eb 1663210548.342590 	 ts sack lia wscale:7,7 rto:232 rtt:30.836/3.41 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7409521bps lastsnd:4 lastrcv:132 lastack:4 pacing_rate 14819040bps delivery_rate 3555112bps delivered:12 busy:68ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.329       
1663210548.342602 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:48085 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,928ms,0) uid:20001 ino:1131943 sk:21ec 1663210548.342613 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140356 lastrcv:15140356 lastack:15140356 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663210548.342648 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:49689 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,060ms,0) uid:20001 ino:1131943 sk:21ed 1663210548.342659 	 ts sack lia wscale:7,7 rto:236 rtt:30.378/15.189 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3760616bps lastsnd:12 lastrcv:40 lastack:12 pacing_rate 7521232bps delivered:1 busy:12ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.378                                   
1663210548.342698 tcp   ESTAB    0      28560           192.168.10.2:34678 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,064ms,0) uid:20001 ino:1131943 sk:21ee 1663210548.342709 	 ts sack lia wscale:7,7 rto:232 rtt:30.934/3.51 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7386048bps lastsnd:8 lastrcv:104 lastack:8 pacing_rate 14771672bps delivery_rate 3543424bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.367       
1663210548.342720 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:52887 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,896ms,0) uid:20001 ino:1131942 sk:21ef 1663210548.342733 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140356 lastrcv:15140356 lastack:15140356 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663210548.342748 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:45469 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,064ms,0) uid:20001 ino:1131942 sk:21f0 1663210548.342763 	 ts sack lia wscale:7,7 rto:232 rtt:30.552/3.896 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7478397bps lastsnd:8 lastrcv:76 lastack:8 pacing_rate 14956544bps delivery_rate 3666352bps delivered:11 busy:40ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.278       
1663210548.342827 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:58617 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,892ms,0) uid:20001 ino:1131942 sk:21e9 1663210548.342840 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
1663210548.342855 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:44025 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,924ms,0) uid:20001 ino:1131943 sk:21ea 1663210548.342869 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
1663210548.342883 mptcp ESTAB    0      28560           192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,060ms,0) uid:20001 ino:1131942 sk:21eb 1663210548.342901 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                  
1663210548.342915 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:48085 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,924ms,0) uid:20001 ino:1131943 sk:21ec 1663210548.342930 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
1663210548.342973 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:49689 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,056ms,0) uid:20001 ino:1131943 sk:21ed 1663210548.342988 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                   
1663210548.343024 mptcp ESTAB    0      28560           192.168.10.2:34678 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,060ms,0) uid:20001 ino:1131943 sk:21ee 1663210548.343037 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                  
1663210548.343049 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:52887 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,892ms,0) uid:20001 ino:1131942 sk:21ef 1663210548.343061 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
