1663208385.116169 tcp   SYN-SENT 0      1               192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,984ms,0) uid:20001 ino:871592 sk:1c11 1663208385.116239 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977124 lastrcv:12977124 lastack:12977124 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663208385.116352 mptcp SYN-SENT 0      1               192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,976ms,0) uid:20001 ino:871592 sk:1c11 1663208385.116365 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                         
1663208385.264660 tcp   ESTAB    0      28560           192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,068ms,0) uid:20001 ino:871592 sk:1c16 1663208385.264734 	 ts sack olia wscale:7,7 rto:232 rtt:30.827/3.455 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7411685bps lastsnd:4 lastrcv:136 lastack:4 pacing_rate 14823184bps delivery_rate 3510648bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.295    
1663208385.264753 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,928ms,0) uid:20001 ino:871593 sk:1c17 1663208385.264766 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977272 lastrcv:12977272 lastack:12977272 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663208385.264852 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,928ms,0) uid:20001 ino:871593 sk:1c18 1663208385.264863 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977272 lastrcv:12977272 lastack:12977272 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663208385.264873 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,060ms,0) uid:20001 ino:871593 sk:1c19 1663208385.264885 	 ts sack olia wscale:7,7 rto:236 rtt:30.411/15.205 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3756535bps lastsnd:12 lastrcv:40 lastack:12 pacing_rate 7513064bps delivered:1 busy:12ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.411                                 
1663208385.264896 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,892ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.264910 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977276 lastrcv:12977276 lastack:12977276 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663208385.264952 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,892ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.264967 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977276 lastrcv:12977276 lastack:12977276 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663208385.264981 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,060ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.264994 	 ts sack olia wscale:7,7 rto:232 rtt:30.56/3.008 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:8 data_segs_out:30 send 7476440bps lastsnd:12 lastrcv:80 lastack:12 pacing_rate 14952632bps delivery_rate 3666472bps delivered:11 busy:44ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.249    
1663208385.265009 tcp   ESTAB    0      28560           192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,060ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.265020 	 ts sack olia wscale:7,7 rto:232 rtt:30.85/4.307 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7406159bps lastsnd:12 lastrcv:108 lastack:12 pacing_rate 14812016bps delivery_rate 3571448bps delivered:12 busy:76ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.319   
1663208385.265031 mptcp ESTAB    0      28560           192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,064ms,0) uid:20001 ino:871592 sk:1c16 1663208385.265045 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663208385.265057 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,924ms,0) uid:20001 ino:871593 sk:1c17 1663208385.265069 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
