1663209057.209831 tcp   SYN-SENT 0      1               192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,988ms,0) uid:20001 ino:824594 sk:1dfe 1663209057.209842 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649220 lastrcv:13649220 lastack:13649220 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663209057.209946 mptcp SYN-SENT 0      1               192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,980ms,0) uid:20001 ino:824594 sk:1dfe 1663209057.209956 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663209057.359094 tcp   ESTAB    0      28560           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,072ms,0) uid:20001 ino:824595 sk:1e01 1663209057.359104 	 ts sack olia wscale:7,7 rto:232 rtt:31.021/3.613 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7365333bps lastrcv:96 pacing_rate 14730544bps delivery_rate 3531808bps delivered:12 busy:60ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.32                            
1663209057.359114 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,900ms,0) uid:20001 ino:824594 sk:1e02 1663209057.359131 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649368 lastrcv:13649368 lastack:13649368 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209057.359143 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,064ms,0) uid:20001 ino:824595 sk:1e03 1663209057.359153 	 ts sack olia wscale:7,7 rto:236 rtt:30.41/15.205 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3756659bps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 7513312bps delivered:1 busy:8ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.41                                        
1663209057.359164 tcp   ESTAB    0      28560           192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,072ms,0) uid:20001 ino:824594 sk:1e04 1663209057.359173 	 ts sack olia wscale:7,7 rto:232 rtt:30.603/4.016 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7465935bps lastrcv:132 pacing_rate 14931744bps delivery_rate 3610504bps delivered:12 busy:64ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.305                          
1663209057.359183 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,064ms,0) uid:20001 ino:824594 sk:1e05 1663209057.359201 	 ts sack olia wscale:7,7 rto:232 rtt:30.555/3.89 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7477663bps lastsnd:8 lastrcv:76 lastack:8 pacing_rate 14954896bps delivery_rate 3664592bps delivered:11 busy:36ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.248        
1663209057.359212 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,928ms,0) uid:20001 ino:824595 sk:1e06 1663209057.359225 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649372 lastrcv:13649372 lastack:13649372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209057.359258 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,896ms,0) uid:20001 ino:824594 sk:1e07 1663209057.359269 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649372 lastrcv:13649372 lastack:13649372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209057.359279 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,928ms,0) uid:20001 ino:824595 sk:1e08 1663209057.359293 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649372 lastrcv:13649372 lastack:13649372 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                              
1663209057.359374 mptcp ESTAB    0      28560           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,064ms,0) uid:20001 ino:824595 sk:1e01 1663209057.359387 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                   
