1663210401.158550 tcp   SYN-SENT 0      1               192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,984ms,0) uid:20001 ino:1116165 sk:2183 1663210401.158563 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993168 lastrcv:14993168 lastack:14993168 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663210401.158659 mptcp SYN-SENT 0      1               192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,976ms,0) uid:20001 ino:1116165 sk:2183 1663210401.158676 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
1663210401.305424 tcp   ESTAB    0      28560           192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,068ms,0) uid:20001 ino:1116166 sk:2187 1663210401.305501 	 ts sack olia wscale:7,7 rto:232 rtt:30.8/4.294 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7418182bps lastsnd:4 lastrcv:104 lastack:4 pacing_rate 14836056bps delivery_rate 3554000bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.324     
1663210401.305543 tcp   ESTAB    0      28560           192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,064ms,0) uid:20001 ino:1116165 sk:2188 1663210401.305554 	 ts sack olia wscale:7,7 rto:232 rtt:30.674/4.124 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7448654bps lastsnd:8 lastrcv:136 lastack:8 pacing_rate 14896936bps delivery_rate 3582648bps delivered:12 busy:72ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.363   
1663210401.305564 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,928ms,0) uid:20001 ino:1116166 sk:2189 1663210401.305582 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993316 lastrcv:14993316 lastack:14993316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663210401.305635 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,924ms,0) uid:20001 ino:1116166 sk:218a 1663210401.305645 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993320 lastrcv:14993320 lastack:14993320 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663210401.305681 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,892ms,0) uid:20001 ino:1116165 sk:218b 1663210401.305695 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993320 lastrcv:14993320 lastack:14993320 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663210401.305710 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,060ms,0) uid:20001 ino:1116165 sk:218c 1663210401.305720 	 ts sack olia wscale:7,7 rto:232 rtt:30.499/5.028 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:6 data_segs_out:30 send 7491393bps lastsnd:12 lastrcv:76 lastack:12 pacing_rate 14982600bps delivery_rate 3688728bps delivered:11 busy:44ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.291  
1663210401.305731 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,056ms,0) uid:20001 ino:1116166 sk:218d 1663210401.305742 	 ts sack olia wscale:7,7 rto:236 rtt:30.323/15.161 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3767437bps lastsnd:16 lastrcv:44 lastack:16 pacing_rate 7534872bps delivered:1 busy:16ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.323                                
1663210401.305756 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,892ms,0) uid:20001 ino:1116165 sk:218e 1663210401.305767 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993320 lastrcv:14993320 lastack:14993320 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                           
1663210401.305777 mptcp ESTAB    0      28560           192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,060ms,0) uid:20001 ino:1116166 sk:2187 1663210401.305788 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
