1663201837.859964 Connecting to host 192.168.3.1, port 5101
1663201837.860147 [  4] local 192.168.10.2 port 58018 connected to 192.168.3.1 port 5101
1663201837.860185 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201837.860209 [  4]   0.00-0.10   sec   934 KBytes  76.4 Mbits/sec    0   14.1 KBytes       
1663201837.860231 [  4]   0.10-0.20   sec  2.38 MBytes   199 Mbits/sec    0   14.1 KBytes       
1663201837.860257 [  4]   0.20-0.30   sec  1.84 MBytes   154 Mbits/sec    0   14.1 KBytes       
1663201837.860283 [  4]   0.30-0.40   sec   879 KBytes  71.9 Mbits/sec    0   14.1 KBytes       
1663201837.860308 [  4]   0.40-0.50   sec  1.53 MBytes   129 Mbits/sec    0   14.1 KBytes       
1663201837.860334 [  4]   0.50-0.60   sec   753 KBytes  61.6 Mbits/sec    0   14.1 KBytes       
1663201837.860359 [  4]   0.60-0.70   sec   879 KBytes  71.9 Mbits/sec    0   14.1 KBytes       
1663201837.860384 [  4]   0.70-0.80   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201837.860409 [  4]   0.80-0.90   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.860434 [  4]   0.90-1.00   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201837.860458 [  4]   1.00-1.10   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860483 [  4]   1.10-1.20   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201837.860509 [  4]   1.20-1.30   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860535 [  4]   1.30-1.40   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201837.860560 [  4]   1.40-1.50   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860585 [  4]   1.50-1.60   sec   753 KBytes  61.7 Mbits/sec    0   14.1 KBytes       
1663201837.860609 [  4]   1.60-1.70   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201837.860633 [  4]   1.70-1.80   sec   941 KBytes  77.2 Mbits/sec    0   14.1 KBytes       
1663201837.860658 [  4]   1.80-1.90   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860682 [  4]   1.90-2.00   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860706 [  4]   2.00-2.10   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860730 [  4]   2.10-2.20   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201837.860754 [  4]   2.20-2.30   sec   879 KBytes  72.1 Mbits/sec    0   14.1 KBytes       
1663201837.860778 [  4]   2.30-2.40   sec  1.04 MBytes  87.3 Mbits/sec    0   14.1 KBytes       
1663201837.860802 [  4]   2.40-2.50   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201837.860826 [  4]   2.50-2.60   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201837.860851 [  4]   2.60-2.70   sec   816 KBytes  66.8 Mbits/sec    0   14.1 KBytes       
1663201837.860875 [  4]   2.70-2.80   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201837.860899 [  4]   2.80-2.90   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.860924 [  4]   2.90-3.00   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201837.860948 [  4]   3.00-3.10   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201837.860972 [  4]   3.10-3.20   sec   816 KBytes  66.9 Mbits/sec    0   14.1 KBytes       
1663201837.860996 [  4]   3.20-3.30   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201837.861020 [  4]   3.30-3.40   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.861045 [  4]   3.40-3.50   sec   816 KBytes  66.9 Mbits/sec    0   14.1 KBytes       
1663201837.861070 [  4]   3.50-3.60   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201837.861095 [  4]   3.60-3.70   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201837.861120 [  4]   3.70-3.80   sec   941 KBytes  77.0 Mbits/sec    0   14.1 KBytes       
1663201837.861145 [  4]   3.80-3.90   sec   941 KBytes  77.2 Mbits/sec    0   14.1 KBytes       
1663201837.861170 [  4]   3.90-4.00   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.861219 [  4]   4.00-4.10   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.861243 [  4]   4.10-4.20   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201837.861264 [  4]   4.20-4.30   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201837.861289 [  4]   4.30-4.40   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201837.861315 [  4]   4.40-4.50   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201837.861340 [  4]   4.50-4.60   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201837.861364 [  4]   4.60-4.70   sec  1.14 MBytes  95.6 Mbits/sec    0   14.1 KBytes       
1663201837.861388 [  4]   4.70-4.80   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201837.861414 [  4]   4.80-4.90   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201843.111895 [  4]   4.90-5.00   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.111967 [  4]   5.00-5.10   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.111996 [  4]   5.10-5.20   sec  1.04 MBytes  87.5 Mbits/sec    0   14.1 KBytes       
1663201843.112018 [  4]   5.20-5.30   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112065 [  4]   5.30-5.40   sec  1.02 MBytes  85.4 Mbits/sec    0   14.1 KBytes       
1663201843.112090 [  4]   5.40-5.50   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.112126 [  4]   5.50-5.60   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.112152 [  4]   5.60-5.70   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.112176 [  4]   5.70-5.80   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.112201 [  4]   5.80-5.90   sec  1.16 MBytes  97.6 Mbits/sec    0   14.1 KBytes       
1663201843.112225 [  4]   5.90-6.00   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112249 [  4]   6.00-6.10   sec  1.02 MBytes  85.4 Mbits/sec    0   14.1 KBytes       
1663201843.112274 [  4]   6.10-6.20   sec  1.10 MBytes  92.4 Mbits/sec    0   14.1 KBytes       
1663201843.112299 [  4]   6.20-6.30   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112324 [  4]   6.30-6.40   sec  1.20 MBytes   101 Mbits/sec    0   14.1 KBytes       
1663201843.112349 [  4]   6.40-6.50   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112373 [  4]   6.50-6.60   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112407 [  4]   6.60-6.70   sec  1.36 MBytes   115 Mbits/sec    0   14.1 KBytes       
1663201843.112431 [  4]   6.70-6.80   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201843.112456 [  4]   6.80-6.90   sec  1.29 MBytes   108 Mbits/sec    0   14.1 KBytes       
1663201843.112481 [  4]   6.90-7.00   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201843.112505 [  4]   7.00-7.10   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112530 [  4]   7.10-7.20   sec  1.18 MBytes  98.7 Mbits/sec    0   14.1 KBytes       
1663201843.112554 [  4]   7.20-7.30   sec  1.59 MBytes   134 Mbits/sec    0   14.1 KBytes       
1663201843.112579 [  4]   7.30-7.40   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201843.112603 [  4]   7.40-7.50   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201843.112627 [  4]   7.50-7.60   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201843.112651 [  4]   7.60-7.70   sec  1.59 MBytes   134 Mbits/sec    0   14.1 KBytes       
1663201843.112676 [  4]   7.70-7.80   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201843.112701 [  4]   7.80-7.90   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112725 [  4]   7.90-8.00   sec  1.24 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201843.112750 [  4]   8.00-8.10   sec  1.41 MBytes   119 Mbits/sec    0   14.1 KBytes       
1663201843.112775 [  4]   8.10-8.20   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201843.112800 [  4]   8.20-8.30   sec   753 KBytes  61.8 Mbits/sec    0   14.1 KBytes       
1663201843.112825 [  4]   8.30-8.40   sec  1.84 MBytes   154 Mbits/sec    0   14.1 KBytes       
1663201843.112847 [  4]   8.40-8.50   sec  1004 KBytes  82.1 Mbits/sec    0   14.1 KBytes       
1663201843.112871 [  4]   8.50-8.60   sec  1.10 MBytes  92.4 Mbits/sec    0   14.1 KBytes       
