1663201837.859979 Connecting to host 192.168.3.1, port 5102
1663201837.860156 [  4] local 192.168.10.2 port 43896 connected to 192.168.3.1 port 5102
1663201837.860192 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201837.860215 [  4]   0.00-0.10   sec   934 KBytes  76.4 Mbits/sec    0   14.1 KBytes       
1663201837.860237 [  4]   0.10-0.20   sec  2.50 MBytes   210 Mbits/sec    0   14.1 KBytes       
1663201837.860262 [  4]   0.20-0.30   sec  1.72 MBytes   144 Mbits/sec    0   14.1 KBytes       
1663201837.860287 [  4]   0.30-0.40   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860312 [  4]   0.40-0.50   sec  1.32 MBytes   112 Mbits/sec    0   14.1 KBytes       
1663201837.860334 [  4]   0.50-0.60   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201837.860357 [  4]   0.60-0.70   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860382 [  4]   0.70-0.80   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860407 [  4]   0.80-0.90   sec  1.32 MBytes   112 Mbits/sec    0   14.1 KBytes       
1663201837.860431 [  4]   0.90-1.00   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860456 [  4]   1.00-1.10   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201837.860481 [  4]   1.10-1.20   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860505 [  4]   1.20-1.30   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860530 [  4]   1.30-1.40   sec  1.39 MBytes   117 Mbits/sec    0   14.1 KBytes       
1663201837.860554 [  4]   1.40-1.50   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860578 [  4]   1.50-1.60   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860602 [  4]   1.60-1.70   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860625 [  4]   1.70-1.80   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860649 [  4]   1.80-1.90   sec  1.32 MBytes   112 Mbits/sec    0   14.1 KBytes       
1663201837.860673 [  4]   1.90-2.00   sec  1.29 MBytes   108 Mbits/sec    0   14.1 KBytes       
1663201837.860696 [  4]   2.00-2.10   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201837.860720 [  4]   2.10-2.20   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.860743 [  4]   2.20-2.30   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201837.860767 [  4]   2.30-2.40   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860789 [  4]   2.40-2.50   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201837.860811 [  4]   2.50-2.60   sec  1.30 MBytes   109 Mbits/sec    0   14.1 KBytes       
1663201837.860835 [  4]   2.60-2.70   sec  1.25 MBytes   104 Mbits/sec    0   14.1 KBytes       
1663201837.860860 [  4]   2.70-2.80   sec  1.51 MBytes   127 Mbits/sec    0   14.1 KBytes       
1663201837.860884 [  4]   2.80-2.90   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201837.860908 [  4]   2.90-3.00   sec  1.29 MBytes   108 Mbits/sec    0   14.1 KBytes       
1663201837.860933 [  4]   3.00-3.10   sec  1.16 MBytes  97.4 Mbits/sec    0   14.1 KBytes       
1663201837.860957 [  4]   3.10-3.20   sec  1.47 MBytes   124 Mbits/sec    0   14.1 KBytes       
1663201837.860980 [  4]   3.20-3.30   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201837.861004 [  4]   3.30-3.40   sec  1.16 MBytes  97.4 Mbits/sec    0   14.1 KBytes       
1663201837.861027 [  4]   3.40-3.50   sec  1.29 MBytes   108 Mbits/sec    0   14.1 KBytes       
1663201837.861051 [  4]   3.50-3.60   sec  1.35 MBytes   113 Mbits/sec    0   14.1 KBytes       
1663201837.861075 [  4]   3.60-3.70   sec  1.23 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663201837.861099 [  4]   3.70-3.80   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201837.861123 [  4]   3.80-3.90   sec  1.39 MBytes   117 Mbits/sec    0   14.1 KBytes       
1663201837.861147 [  4]   3.90-4.00   sec   377 KBytes  30.8 Mbits/sec    0   14.1 KBytes       
