1663209624.162591 tcp   SYN-SENT 0      1               192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,988ms,0) uid:20001 ino:1020569 sk:1f7c 1663209624.162602 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216176 lastrcv:14216176 lastack:14216176 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663209624.162732 mptcp SYN-SENT 0      1               192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,984ms,0) uid:20001 ino:1020569 sk:1f7c 1663209624.162743 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                         
1663209624.309983 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,904ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.310000 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216320 lastrcv:14216320 lastack:14216320 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209624.310032 tcp   ESTAB    0      24276           192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,072ms,0) uid:20001 ino:1020569 sk:1f80 1663209624.310043 	 ts sack reno wscale:7,7 rto:232 rtt:30.45/4.972 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:17 bytes_sent:34309 bytes_acked:10034 segs_out:28 segs_in:6 data_segs_out:25 send 6377931bps lastrcv:128 pacing_rate 12755544bps delivery_rate 2579192bps delivered:9 busy:60ms unacked:17 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.313                          
1663209624.310061 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:37833 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,900ms,0) uid:20001 ino:1020569 sk:1f81 1663209624.310073 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216324 lastrcv:14216324 lastack:14216324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209624.310083 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:45977 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,064ms,0) uid:20001 ino:1020570 sk:1f82 1663209624.310093 	 ts sack reno wscale:7,7 rto:236 rtt:30.355/15.177 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3763466bps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 7526928bps delivered:1 busy:8ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.355                                    
1663209624.310125 tcp   ESTAB    0      28560           192.168.10.2:34238 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,072ms,0) uid:20001 ino:1020570 sk:1f83 1663209624.310139 	 ts sack reno wscale:7,7 rto:232 rtt:31.029/3.634 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 7363434bps lastrcv:96 pacing_rate 14726448bps delivery_rate 3524288bps delivered:12 busy:60ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.316                         
1663209624.310150 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:50265 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,932ms,0) uid:20001 ino:1020570 sk:1f84 1663209624.310160 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216324 lastrcv:14216324 lastack:14216324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209624.310174 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:38053 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,068ms,0) uid:20001 ino:1020569 sk:1f85 1663209624.310185 	 ts sack reno wscale:7,7 rto:232 rtt:30.574/3.912 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:7 data_segs_out:30 send 7473016bps lastsnd:4 lastrcv:68 lastack:4 pacing_rate 14945784bps delivery_rate 3654744bps delivered:11 busy:32ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.292     
1663209624.310219 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:56959 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,932ms,0) uid:20001 ino:1020570 sk:1f86 1663209624.310229 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216324 lastrcv:14216324 lastack:14216324 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663209624.310263 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,896ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.310277 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
