1663888473.823379 tcp   SYN-SENT 0      1               192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,976ms,0) uid:20001 ino:6340228 sk:34e0 1663888473.823445 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175636 lastrcv:59175636 lastack:59175636 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663888473.823562 mptcp SYN-SENT 0      1               192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,968ms,0) uid:20001 ino:6340228 sk:34e0 1663888473.823577 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                              
1663888473.967077 tcp   ESTAB    0      37              192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,168ms,0) uid:20001 ino:6340228 sk:34e1 1663888473.967149 	 ts sack lia wscale:7,7 rto:276 rtt:60.411/30.205 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:20 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:3 data_segs_out:1 send 1891046bps lastsnd:108 lastrcv:108 lastack:48 pacing_rate 2269248bps delivered:1 busy:108ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.411                                                               
1663888473.967191 tcp   ESTAB    0      37              192.168.10.2:45740 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,232ms,0) uid:20001 ino:6340229 sk:34e2 1663888473.967201 	 ts sack lia wscale:7,7 rto:276 rtt:60.377/30.188 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:20 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:1 data_segs_out:1 send 1892111bps lastsnd:44 lastrcv:44 lastack:44 pacing_rate 3837216bps delivered:1 busy:44ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.377                                                                  
1663888473.967284 mptcp ESTAB    0      37              192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,160ms,0) uid:20001 ino:6340228 sk:34e1 1663888473.967295 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663888473.967330 mptcp ESTAB    0      37              192.168.10.2:45740 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,224ms,0) uid:20001 ino:6340229 sk:34e2 1663888473.967342 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663888474.110296 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:44643 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,872ms,0) uid:20001 ino:6340229 sk:34e3 1663888474.110362 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175924 lastrcv:59175924 lastack:59175924 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                   
1663888474.110380 tcp   ESTAB    0      28560           192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,160ms,0) uid:20001 ino:6340228 sk:34e1 1663888474.110392 	 ts sack lia wscale:7,7 rto:356 rtt:76.206/40.737 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 ssthresh:20 bytes_sent:41449 bytes_acked:12890 segs_out:33 segs_in:7 data_segs_out:30 send 2998189bps lastsnd:4 lastrcv:252 lastack:4 pacing_rate 3597808bps delivery_rate 459912bps delivered:11 busy:252ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.35                                
1663888474.110403 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:46707 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,872ms,0) uid:20001 ino:6340229 sk:34e4 1663888474.110414 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175924 lastrcv:59175924 lastack:59175924 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                   
1663888474.110451 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:47839 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,872ms,0) uid:20001 ino:6340229 sk:34e5 1663888474.110463 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175924 lastrcv:59175924 lastack:59175924 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                   
1663888474.110474 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:60435 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,996ms,0) uid:20001 ino:6340228 sk:34e6 1663888474.110488 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175924 lastrcv:59175924 lastack:59175924 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                   
