1663890489.399877 tcp   SYN-SENT 0      1               192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,976ms,0) uid:20001 ino:6821759 sk:3a1c 1663890489.399894 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191216 lastrcv:61191216 lastack:61191216 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                       
1663890489.400009 mptcp SYN-SENT 0      1               192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,972ms,0) uid:20001 ino:6821759 sk:3a1c 1663890489.400022 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                     
1663890489.545178 tcp   ESTAB    0      37              192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,216ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.545190 	 ts sack lia wscale:7,7 rto:600 rtt:60.351/30.175 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:10 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:3 data_segs_out:1 send 1892926bps lastsnd:108 lastrcv:108 lastack:48 pacing_rate 2271504bps delivered:1 busy:108ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.351                                      
1663890489.545224 tcp   ESTAB    0      37              192.168.10.2:47472 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,280ms,0) uid:20001 ino:6821760 sk:3a1e 1663890489.545241 	 ts sack lia wscale:7,7 rto:600 rtt:60.34/30.17 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:10 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:1 data_segs_out:1 send 1893271bps lastsnd:44 lastrcv:44 lastack:44 pacing_rate 3839568bps delivered:1 busy:44ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.34                                            
1663890489.545336 mptcp ESTAB    0      37              192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,212ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.545349 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                               
1663890489.545385 mptcp ESTAB    0      37              192.168.10.2:47472 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,276ms,0) uid:20001 ino:6821760 sk:3a1e 1663890489.545398 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                               
1663890489.689312 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35057 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,1sec,0) uid:20001 ino:6821759 sk:3a1f 1663890489.689390 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191500 lastrcv:61191500 lastack:61191500 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                           
1663890489.689458 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:49309 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,996ms,0) uid:20001 ino:6821759 sk:3a20 1663890489.689468 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191504 lastrcv:61191504 lastack:61191504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
1663890489.689485 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:41053 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,996ms,0) uid:20001 ino:6821759 sk:3a21 1663890489.689497 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191504 lastrcv:61191504 lastack:61191504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
1663890489.689529 tcp   ESTAB    0      14280           192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,160ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.689540 	 ts sack lia wscale:7,7 rto:356 rtt:76.147/40.753 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:10 bytes_sent:27169 bytes_acked:12890 segs_out:23 segs_in:7 data_segs_out:20 send 1500256bps lastsnd:4 lastrcv:252 lastack:4 pacing_rate 1800288bps delivery_rate 459920bps delivered:11 busy:252ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.266      
1663890489.689577 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50629 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,872ms,0) uid:20001 ino:6821760 sk:3a22 1663890489.689588 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191504 lastrcv:61191504 lastack:61191504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
