1663890344.119462 tcp   SYN-SENT 0      1               192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,984ms,0) uid:20001 ino:6576998 sk:39bc 1663890344.119538 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61045932 lastrcv:61045932 lastack:61045932 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                       
1663890344.119604 mptcp SYN-SENT 0      1               192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,976ms,0) uid:20001 ino:6576998 sk:39bc 1663890344.119615 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                      
1663890344.263045 tcp   ESTAB    0      37              192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,288ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.263112 	 ts sack olia wscale:7,7 rto:1212 rtt:60.316/30.158 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:1 data_segs_out:1 send 1894025bps lastsnd:36 lastrcv:36 lastack:36 pacing_rate 3841096bps delivered:1 busy:36ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.316                                        
1663890344.263131 tcp   ESTAB    0      37              192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,224ms,0) uid:20001 ino:6576998 sk:39be 1663890344.263143 	 ts sack olia wscale:7,7 rto:1212 rtt:60.274/30.137 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:3 data_segs_out:1 send 1895345bps lastsnd:100 lastrcv:100 lastack:40 pacing_rate 3790688bps delivered:1 busy:100ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.274                                     
1663890344.263205 mptcp ESTAB    0      37              192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,280ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.263216 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                
1663890344.263227 mptcp ESTAB    0      37              192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,216ms,0) uid:20001 ino:6576998 sk:39be 1663890344.263238 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                
1663890344.406225 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,880ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.406289 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046220 lastrcv:61046220 lastack:61046220 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                         
1663890344.406307 tcp   ESTAB    0      14280           192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,076ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.406326 	 ts sack olia wscale:7,7 rto:264 rtt:60.321/22.629 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:14317 bytes_acked:38 segs_out:14 segs_in:4 data_segs_out:11 send 1893868bps lastsnd:56 lastrcv:180 lastack:120 pacing_rate 3787712bps delivery_rate 189264bps delivered:2 busy:116ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.316      
1663890344.406337 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:45563 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,880ms,0) uid:20001 ino:6576999 sk:39c0 1663890344.406348 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046220 lastrcv:61046220 lastack:61046220 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                         
1663890344.406358 tcp   ESTAB    0      12889           192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,076ms,0) uid:20001 ino:6576998 sk:39be 1663890344.406369 	 ts sack olia wscale:7,7 rto:1212 rtt:60.274/30.137 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:12889 bytes_acked:1 segs_out:13 segs_in:3 data_segs_out:10 send 1895345bps lastsnd:56 lastrcv:244 lastack:184 pacing_rate 3790688bps delivered:1 busy:244ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.274                              
1663890344.406407 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:37039 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,880ms,0) uid:20001 ino:6576999 sk:39c1 1663890344.406418 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046220 lastrcv:61046220 lastack:61046220 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                         
1663890344.406454 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,876ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.406464 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890344.406477 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:41995 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,1sec,0) uid:20001 ino:6576998 sk:39c2 1663890344.406490 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
