1663890427.961741 tcp   SYN-SENT 0      1               192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,952ms,0) uid:20001 ino:6826025 sk:39f1 1663890427.961754 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61129772 lastrcv:61129772 lastack:61129772 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                      
1663890427.961862 tcp   ESTAB    0      37              192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,268ms,0) uid:20001 ino:6826024 sk:39f2 1663890427.961877 	 ts sack pcc wscale:7,7 rto:792 rtt:60.384/30.192 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:44 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:1 data_segs_out:1 send 8324324bps lastsnd:56 lastrcv:56 lastack:56 pacing_rate 4240000bps delivered:1 busy:56ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.384                                                                 
1663890427.961918 mptcp SYN-SENT 0      1               192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,944ms,0) uid:20001 ino:6826025 sk:39f1 1663890427.961930 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                    
1663890427.962020 mptcp ESTAB    0      37              192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,264ms,0) uid:20001 ino:6826024 sk:39f2 1663890427.962034 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                           
1663890428.103362 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,864ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.103432 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61129916 lastrcv:61129916 lastack:61129916 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                   
1663890428.103475 tcp   ESTAB    0      31453           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,124ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.103486 	 ts sack pcc wscale:7,7 rto:792 rtt:60.407/30.203 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:44 bytes_sent:5749 bytes_acked:1 segs_out:8 segs_in:3 data_segs_out:5 send 8321155bps lastsnd:8 lastrcv:136 lastack:76 pacing_rate 4240000bps delivered:1 busy:136ms unacked:5 rcv_space:14280 rcv_ssthresh:64108 notsent:25704 minrtt:60.407                                             
1663890428.103546 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,860ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.103561 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61129920 lastrcv:61129920 lastack:61129920 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                   
1663890428.103600 tcp   ESTAB    0      31416           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,132ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.103613 	 ts sack pcc wscale:7,7 rto:264 rtt:60.383/22.644 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:44 bytes_sent:8605 bytes_acked:38 segs_out:10 segs_in:4 data_segs_out:7 send 8324462bps lastrcv:200 lastack:140 pacing_rate 4240000bps delivery_rate 189192bps delivered:2 busy:72ms unacked:6 rcv_space:14280 rcv_ssthresh:64108 notsent:22848 minrtt:60.383                             
1663890428.103626 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,860ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.103639 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61129920 lastrcv:61129920 lastack:61129920 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                   
1663890428.103652 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,856ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.103663 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                 
1663890428.103700 mptcp ESTAB    0      31453           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,128ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.103712 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:7                                                                                                                                                                                                                                                                                                                        
