1663890069.073337 tcp   SYN-SENT 0      1               192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,980ms,0) uid:20001 ino:6220694 sk:390b 1663890069.073409 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60770888 lastrcv:60770888 lastack:60770888 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                       
1663890069.073537 mptcp SYN-SENT 0      1               192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:390b 1663890069.073549 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                      
1663890069.217912 tcp   ESTAB    0      37              192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,256ms,0) uid:20001 ino:6220695 sk:390c 1663890069.217986 	 ts sack reno wscale:7,7 rto:296 rtt:60.395/30.197 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:1 data_segs_out:1 send 1891547bps lastsnd:40 lastrcv:40 lastack:40 pacing_rate 3836072bps delivered:1 busy:40ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.395                                         
1663890069.218005 tcp   ESTAB    0      37              192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,192ms,0) uid:20001 ino:6220694 sk:390d 1663890069.218018 	 ts sack reno wscale:7,7 rto:296 rtt:60.382/30.191 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:3 data_segs_out:1 send 1891955bps lastsnd:104 lastrcv:104 lastack:44 pacing_rate 3783904bps delivered:1 busy:104ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.382                                      
1663890069.218131 mptcp ESTAB    0      37              192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,252ms,0) uid:20001 ino:6220695 sk:390c 1663890069.218145 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                
1663890069.218157 mptcp ESTAB    0      37              192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,188ms,0) uid:20001 ino:6220694 sk:390d 1663890069.218170 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                
1663890069.360430 tcp   ESTAB    0      0               192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) uid:20001 ino:6220695 sk:390c 1663890069.360493 	 ts sack reno wscale:7,7 rto:264 rtt:60.384/22.67 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:38 segs_out:4 segs_in:4 data_segs_out:1 send 1891892bps lastsnd:180 lastrcv:180 lastack:120 pacing_rate 3783776bps delivery_rate 189424bps delivered:2 busy:60ms rcv_space:14280 rcv_ssthresh:64108 minrtt:60.307                                           
1663890069.360512 tcp   ESTAB    0      37              192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,052ms,0) uid:20001 ino:6220694 sk:390d 1663890069.360524 	 ts sack reno wscale:7,7 rto:296 rtt:60.382/30.191 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:1 segs_out:4 segs_in:3 data_segs_out:1 send 1891955bps lastsnd:244 lastrcv:244 lastack:184 pacing_rate 3783904bps delivered:1 busy:244ms unacked:1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.382                                     
1663890069.360584 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,876ms,0) uid:20001 ino:6220695 sk:390e 1663890069.360598 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771176 lastrcv:60771176 lastack:60771176 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
1663890069.360656 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,876ms,0) uid:20001 ino:6220695 sk:390f 1663890069.360669 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771176 lastrcv:60771176 lastack:60771176 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
1663890069.360682 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,876ms,0) uid:20001 ino:6220695 sk:3910 1663890069.360695 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771176 lastrcv:60771176 lastack:60771176 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                          
1663890069.360708 mptcp ESTAB    0      0               192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) uid:20001 ino:6220695 sk:390c 1663890069.360721 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594                                                                                                                                                                                                                                                                                                                                             
1663890069.360734 mptcp ESTAB    0      37              192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,044ms,0) uid:20001 ino:6220694 sk:390d 1663890069.360746 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                
1663890069.360808 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,872ms,0) uid:20001 ino:6220695 sk:390e 1663890069.360819 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890069.360886 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,872ms,0) uid:20001 ino:6220695 sk:390f 1663890069.360899 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890069.360912 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,872ms,0) uid:20001 ino:6220695 sk:3910 1663890069.360925 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890069.501029 tcp   ESTAB    0      0               192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) uid:20001 ino:6220695 sk:390c 1663890069.501091 	 ts sack reno wscale:7,7 rto:264 rtt:60.384/22.67 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:38 segs_out:4 segs_in:4 data_segs_out:1 send 1891892bps lastsnd:324 lastrcv:324 lastack:264 pacing_rate 3783776bps delivery_rate 189424bps delivered:2 busy:60ms rcv_space:14280 rcv_ssthresh:64108 minrtt:60.307                                         
1663890069.501108 tcp   ESTAB    0      0               192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) uid:20001 ino:6220694 sk:390d 1663890069.501121 	 ts sack reno wscale:7,7 rto:264 rtt:60.459/22.797 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:74 bytes_retrans:37 bytes_acked:38 segs_out:5 segs_in:4 data_segs_out:2 send 1889545bps lastsnd:84 lastrcv:388 lastack:24 pacing_rate 3779072bps delivery_rate 31568bps delivered:2 busy:364ms retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.382             
1663890069.501132 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3911 1663890069.501144 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501182 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3912 1663890069.501196 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501236 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3913 1663890069.501249 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501262 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,736ms,0) uid:20001 ino:6220695 sk:390e 1663890069.501275 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501336 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,736ms,0) uid:20001 ino:6220695 sk:390f 1663890069.501348 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
